text,sentiment
module  ek program hoti hai  jismen ya to source code ya machine language ke form men instructions nihit hote hain.,neutral
aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai,positive
aur jab unhen yad dilaya jata hai  to ve yad nahin karte ,neutral
tumhen २०११ ka ted prize mil gaya hai,positive
unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki.,neutral
phir hamne unhen bheja taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe,positive
kya aap vakee raddi men sare photos and videos khiskana chahte hain,neutral
malabar men khudaee ke kamron men rakhe hue bare-bare bartan mile hain jinme shav rakhe jate the.,neutral
aur dharti ko ek samatal desolate maidan banakar chhorega,negative
mujhe dekhne ke lie jab aap ऑnlain ho dhanyvad!,positive
jo azasartapa un logon ke lie guidance v mercy hai,positive
france men is ek deed ki news bijli ki tarah phail jati hai aur people bhram se mut hokar pride mahsoos karte hain,positive
aapki refuse ko dekhne ke lie unhen permission mat den,negative
any upakarnon par tab page menu ke lie tab page prishth aksham karen,neutral
ends ke uddeshyon ki disposal se koson pendency  unka anirnay ya merits ke aadhar par niptan sunishchit roop se ends ke uddeshyon ko viphal kar dega,positive
use apne creatures par poorn adhikar prapt hai. aur vah wise aware rakhnevala hai,positive
yadi yah aur pahle ka nahin  to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha  kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain,neutral
hamne tumhen paida kiya phir tum sach kyon nahin mante,positive
aap prat 10 baje vahan ho tej,neutral
kuchh mahine hue vahan normal democratic elections hue aur phalasvroop vahan ek popular radical party lokapriy morcha-satta men aayi,positive
continue rakhen lagoo kar raha hai ke sath resolved conflicts,negative
koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual,neutral
aur hamne heaven se ek measure e sath water barsaya phir usko zamin men  hasab maslehat  thahrae rakha aur able to yainan uske aeb kar dene par bhi aboo rakhte hai,positive
puppet nirdeshkon ke samaksh satire  humour evn whole shakti ka snsar open para hai.,positive
par sharirik prem doosre tat-aatm-hanan-par bridge to cross physical love,positive
uski man lakari ke bane kukurmutte par koee phata darning a torn thi.,negative
pratyek jiv taste of death chakhnevala hai aur tumhen to iyamat ke din poora-poora badla de diya jaega. ata jise aag jahannam se hatakar jannat men dail kar diya gaya vah saphal raha. raha sansarik jivan to vah maya-samagri ke siva kuchh bhi nahin,negative
fluctuations jute ke production men utar-chaav  low yield  cost sphiti  labour unrest  uncertain demand  obsolete machinery  kuchh iski major problems hain,negative
ek demographic dividend ke sath kee young lot,neutral
yadi aap yah mante hain ki aap kar sakte hain to snbhavta aap kar sakte hain.,neutral
ek school men har koee wearing jeans raha hai har koee ek saman hai,neutral
pichhe ek bari sabhi huee jismen hakim sahab aur pndit meeting was called hue.,neutral
highest se highest amount jo mooly rup me di jani amount,neutral
ye the  turban  chnvron ki pair  umbrella  sword  sandals tatha royal that-bat se rahna.,neutral
aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the,neutral
spades ki place the ten place spades ke nahla ko rakhen,neutral
charls tilli Charles Tilly aatnk aatnkvad terrorist sociological theory 2004 22 5-13 men ऑnlain,negative
evolution data v settings ka backup len v phir bhndarit karen,neutral
yah agricultural machinery  wholesale tatha retail bajar evn foreign trade ko bhi vitrit evn niyntrit karta hai.,neutral
hindi ki various dialects ka literature today bhi popular hai aur today bhi many poets aur writers apna work apni-apni regional bhashaon men karte hain.,positive
image ko 90 degrees par right ghumaen,neutral
aur kisi particular scope ke sndarbh men human ka arth ya children  is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega  is moreover ki koee garnti nahin di ja dispute,positive
aaj tonight ek year poora ho jaega.,neutral
han jaise ki doosro ke bare men mansik kalpnaen aur ray.,positive
air ki quality par new england ka american lung association,neutral
vah uski greater spiritual nature ko niche utarakar is lower trividh satta men nahin triplicity sakta  kyonki yahan to manomay purush hi aatma ki sarvochch expression hai.,neutral
to 1 times 5 barabar hai 5ke,neutral
chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain,neutral
other or buddhist ke patronage men art samriddhshali bani.,positive
standard chartard 140 miliyan laya hai.,neutral
war ke varshon ke dauran  railways par atydhik strain tha  yah n keval troops aur war materials ko desh men hi lane responsibility jane ke great tha varan african war men railways ke lie staff aur materials ki bati huee needs ko poora karne ke un par saunpe gaye dayitv ke great tha,negative
ve bole ae moses! ya to tum phenko ya phir ham pahle phenkte hain.,neutral
koee maintenance charges dene ki jarurat nahin paid,negative
CMS attach data snlagn nahin kar sakta hai,neutral
aesi incidents ko bilkul tolerance n karne ki mooly prerit commitment ke roop men  mining industry men reaction ki culture ke bajay prevention ki culture ki aavashyakta hai.,positive
yah patrak batata hai ki vitamin ke  k  benefits bliding  vitamin ke  k  ki kabhi deficiency ki vajah se khoon bahne lagna  kya possible bhash  yah vitamin ke  k  sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta possible bhash,positive
vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai aur aannd ka aatma ka upyog karta hai.,positive
skoolon men bachchon ko corporal punishment dene par rok honi chahie aur vidyarthiyon ko rachnatmak pahal karne ke lie protsahit kiya jana chahie.,positive
move khiskaen  move par,neutral
dekhe kare minus 57 divided hai 103 se,neutral
kya har koee apne true nature ka jan sakta hai,positive
us rush men khinche nahin don get hai   us storm me.,neutral
item tags ke roop men hi HandyShopper ke stor nam aayat karen,neutral
vidhi men ek niyam ke antargat kee up niyam hote number,positive
delight bhari gardens men honge,positive
chhote chhote shishu udyog is samay ke mukhri-oonshchhsh-y shishu udyogon men chini kagaj aur diyaslari ki charcha ki ja sakti hai,neutral
delhi ke last ne ekjut ho 10 april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee,negative
isiliye ek jyada smaller group ki jaroorat hai  something use aap kary steering committee kahen ya kuchh aur  jo sal men kee bar mil sake  adhik active ho sake aur less kharch se kam chala sake.,positive
unhonne wasn kiya ki vahan paryapt progress nahin thi,positive
han ya nhin parchiyon par votes by members ka abhilekhan ka tarika samanyatya nimnlikhit paristhtiyon men apnaya jata haia-,neutral
fate account  ye chand towns ke halat hain jo ham tum se bayan karte hain unmen se others to  us vakt tak  ayam hain aur others ka tahas nahas ho gaya,neutral
machinery and implements ki purchase aavdhik rin:,neutral
to yah vapas potential energy ko phir se chala jata hai.,positive
children ko opivi 5 years of age tak diya ja sakta hai,neutral
usman riyaja one  yah first tha  aur phir main,positive
is item ke lie dikhae jane ke lie info,neutral
bap ke ganl bladar ka ऑpreshan karaya bangur haspital ke peing bed bharti kara kar.,positive
wind ki speed   d kilomitarprtighnta,neutral
yadi selected gaya hai jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega,neutral
pratyek varteks ek label hai aur in label nimn gun hona aavashyak hai.,neutral
ii  tuensang affairs minister tuensang district se snbndhit sabhi matters ki babat affairs karega aur unke snbndh men governor ke pas uski direct access hogi kintu vah unke snbndh men mukhymntri ko jankari deta rahega,neutral
yaoob ne kaha ae son  dekho bardar  lest apna vision apne brothers se n dohrana  varna  vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai,negative
jis day sky chakkar khane lagega,negative
